"Stage","ID","Asset Name","Coupon","PACE Asset Balance","Closing Date","Maturity Date"," Term (Years)","Amortization Start Date","Cap-I End Date","Payments per Year","Current Total Debt MTG + PACE","Mortgage Balance","Total Project Budget","as-is Property Value","as-complete Property Value","as-stabilized Property value","as-stabilized PACE LTV","as-stabilized Mortgage LTV","as-stabilized Combined LTV","Under-Written DSVR","City","State","Property Type","Project Type","PACE Program","Closing Year","Maturity Year"
"06 Complete/Prepaid","21-28","Galaxy - TPS SLC","5.45","2601303","2021-08-27","2047-12-15",25,"2022-12-16","2022-12-15",1,"15696273","13094970","19853837.00","3500000","19900000","23700000","10.9759620253165","55.2530379746836","66.229","1.47","Salt Lake City","UT","Hotel","New Construction","Utah C-PACE","2021","2047"
"06 Complete/Prepaid","21-23","RMH - Parkdale","6","2425257","2021-05-17","2041-11-30",20,"2021-11-30","2021-11-29",2,"11125257","8700000","13834414.00","5800000","13800000","22700000","10.6839515418502","38.3259911894273","49.0099427312775","2.11","Clinton Township","MI","Assisted Living","Major Renovation","Lean & Green Michigan","2021","2041"
"06 Complete/Prepaid","20-12","Wilcox - The Aubrey Columbus","5.68","1085797","2020-10-07","2050-07-31",29,"2021-11-15","2021-11-14",2,"18036397","16950600","24512925.00","3700000","21200000","21900000","4.95797716894977","77.4","82.3579771689498","1.17","Columbus","OH","Multifamily","New Construction","CRESID - Columbus ","2020","2050"
"06 Complete/Prepaid","19-37 ","3A Partners - Paxton 365","6.33","1241696","2020-01-30","2046-11-15",25,"2021-12-16","2021-12-15",1,"16807946","15566250","24847609.36","1800000","29200000","29800000","4.16676510067114","52.2357382550336","56.4025033557047","1.17","Salt Lake City","UT","Mixed Use","New Construction","Utah C-PACE","2020","2046"
"06 Complete/Prepaid","19-22","DDL Holdings - Building C&D","5.9","808000","2019-09-06","2044-07-30",25,"2019-11-30","2019-11-29",2,"808000","0","808000.00","9500000",NULL,NULL,NULL,NULL,NULL,NULL,"Green Bay","WI","Office","Major Renovation","Wisconsin PACE Commission ","2019","2044"
"06 Complete/Prepaid","19-21","Hudson - 192 Erie","5.6","1947839.42","2020-04-01","2046-01-15",25,"2021-10-15","2021-10-14",1,"8212167.42","6264328","11890350.42","2000000","8600000","9000000","21.6426602222222","69.6036444444444","91.2463046666667","1.34","Schenectady","NY","Mixed Use","Retrofit","Energize New York (NY State)","2020","2046"
"06 Complete/Prepaid","19-08","3400 SOBO -3400 Broadway","6.19","592438","2019-05-03","2039-07-31",20,"2019-10-15","2019-10-14",2,"3967438","3375000","7379895.00","2400000","4600000","7200000","8.22830555555556","46.875","55.1033055555556","1.22","Englewood","CO","Mixed Use","Major Renovation","Colorado PACE","2019","2039"
"06 Complete/Prepaid","17-26","Midwest Modern - Velocity Mixed Use","7.54","232785.25","2018-03-27","2038-01-31",20,"2018-11-30","2018-11-29",1,"4248785.25","4016000","5953228.25","410000","5020000","5200000","4.47663942307692","77.2307692307692","81.7074086538462",NULL,"Verona","WI","Mixed Use","New Construction","Wisconsin PACE Commission ","2018","2038"
"06 Complete/Prepaid","17-13","Rubin Capital Group - Glenroy Coachella","7.31","7888548.25","2018-04-26","2043-04-10",25,"2018-09-03","2018-09-02",2,"32288548.25","24400000","53159547.25","16700000","41700000","46300000","17.037901187905","52.6997840172786","69.7376852051836","2.18","Coachella ","CA","Hotel","New Construction","CSCDA Open PACE","2018","2043"
"06 Complete/Prepaid","17-11","FLCO - Covington KY Multifamily ","7.09","4402276.33","2017-09-18","2037-12-15",20,"2018-01-01","2017-12-31",1,"36329276.33","31927000","36329276.33","4800000","48900000","51300000","8.5814353411306","62.2358674463938","70.8173027875244",NULL,"Covington","KY","Multifamily","New Construction","Energize Kentucky","2017","2037"
"06 Complete/Prepaid","16-22","New Cap Investments-Aldersgate","6.5","653212.92","2016-11-03","2036-10-15",20,"2017-01-01","2016-12-31",1,"5403212.92","4750000","5993212.92","220000","6600000","6800000","9.60607235294118","69.8529411764706","79.4590135294118","1.46","Little Rock","AR","Multifamily","New Construction","PACE Arkansas (Pulaski Co. Only)","2016","2036"
"06 Complete/Prepaid","16-17","Vrain - Sloan Lake Flats","6.75","2826330.76","2016-11-07","2037-09-30",20,"2017-10-15","2017-10-14",2,"15826330.76","13000000","15826330.76","3100000","22500000","23400000","12.0783365811966","55.5555555555556","67.6338921367521","1.31","Denver","CO","Multifamily ","New Construction","Colorado PACE","2016","2037"
"06 Complete/Prepaid","15-16","Royal Imex","7.23","350948.61","2016-01-19","2041-04-10",25,"2016-09-02","2016-09-01",2,"2934068.61","2583120","2934068.61","1406736","4120596","4120000","8.51817014563107","62.6970873786408","71.2152575242718","1.4","Santa Fe Springs","CA","Industrial ","Solar","CaliforniaFIRST","2016","2041"
"06 Complete/Prepaid","15-14 ","4534 Olive","6.64","144942","2015-11-30",NULL,20,"2017-03-01","2017-02-28",1,"5597317","5452375","5597317.00","270000","7170000","7170000","2.02150627615063","76.0442817294282","78.0657880055788","1.36","St. Louis","MO","Multifamily","Major Renovation","Set The PACE St. Louis","2015",NULL
"06 Complete/Prepaid","15-13","Goldfarb - Moorland Holdings","6.12","151127","2015-10-09","2025-12-31",10,"2016-01-01","2015-12-31",1,"151127","0","151127.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Shrewsbury","MO","Office","Retrofit","Missouri Show Me PACE","2015","2025"
"06 Complete/Prepaid","15-12","Bamboo - 2458 Old Dorsett","6.14","134758","2015-10-13","2029-12-31",14,"2016-01-01","2015-12-31",1,"4314802.44","4180044.44","4314802.44","5300000","5300000","5300000","2.54260377358491","78.8687630188679","81.4113667924528",NULL,"Maryland Heights","MO","Office","Retrofit","Missouri Show Me PACE","2015","2029"
"06 Complete/Prepaid","15-08","Jeffers- Mackie Building","6.32","1729400","2015-09-30","2035-06-30",20,"2016-01-01","2015-12-31",2,"1729400","0","1729400.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Milwaukee","WI ","Multifamily","Major Renovation","Milwaukee Me2","2015","2035"
"06 Complete/Prepaid","15-04","815 Ann","6.34","600000","2015-12-10","2036-12-31",20,"2017-03-01","2017-02-28",1,"4200000","3600000","4200000.00","805000","4760000","4800000","12.5","75","87.5",NULL,"St. Louis","MO","Multifamily","Retrofit","Set The PACE St. Louis","2015","2036"
"06 Complete/Prepaid","14-01","University Club","6","675855.028075549","2014-08-28","2032-10-31",18,"2015-01-01","2014-12-31",2,"675855.028075549","3.49245965480804e-10","675855.03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Non-profit","Retrofit","Milwaukee Me2","2014","2032"
